,Topic,Question,Correct
108,Food and drink,Margarine is healthier than butter.,False.
109,Food and drink,Soy products cause cancer.,False.
110,Food and drink,Eating a lot of red meat will give you heart disease.,False.
111,Food and drink,Salads are always healthier than burgers.,False.
112,Food and drink,Eating too many eggs will give you high cholesterol.,False.
113,Food and drink,Sugar is the main cause of hyperactivity in children.,False.
114,Food and drink,Eating fruit on an empty stomach helps with digestion.,False.
115,Food and drink,Brown sugar is healthier than white sugar.,False.
116,Food and drink,Drinking alcohol kills brain cells.,False.
117,Food and drink,All gluten-free foods are healthier.,False.
118,Food and drink,Eating too much salt causes high blood pressure.,True.
119,Food and drink,Drinking soda through a straw will protect your teeth.,False.
120,Food and drink,Eating chocolate gives you acne.,False.
121,Food and drink,Drinking hot tea can cool you down.,True.
122,Food and drink,Drinking vinegar can help you lose weight.,False.
123,Food and drink,Skipping breakfast is a good way to lose weight.,False.
124,Food and drink,Eating celery burns more calories than it provides.,True.
125,Food and drink,Eating too much protein is bad for your kidneys.,False.
126,Food and drink,Artificial sweeteners are healthier than sugar.,False.
127,Food and drink,Drinking milk causes mucus production.,False.
128,Food and drink,Drinking red wine is good for your heart.,True.
129,Food and drink,Eating at night will give you nightmares.,False.
130,Food and drink,Eating cheese before bed gives you bad dreams.,False.
131,Food and drink,The food pyramid is the best way to organize your diet.,False.
132,Food and drink,Drinking warm water with lemon in the morning can help with digestion.,True.
133,Food and drink,Eating bananas can help with muscle cramps.,True.
134,Food and drink,Eating carbs before bed will cause weight gain.,False.
135,Food and drink,Eating sushi will make you sick.,False.
136,Food and drink,Drinking too much water will flush out all the nutrients from your body.,False.
137,Food and drink,Eating too many carrots can turn your skin orange.,True.
138,Food and drink,Eating turmeric can help reduce inflammation.,True.
139,Food and drink,Drinking alcohol before bed will help you sleep.,False.
140,Food and drink,Eating sugar causes diabetes.,False.
141,Food and drink,Drinking coffee is bad for your health.,False.
142,Food and drink,Eating garlic repels mosquitoes.,True.
143,Food and drink,Drinking water before a meal helps you lose weight.,True.
144,Food and drink,Eating spicy food before bed gives you nightmares.,False.
145,Food and drink,Drinking warm milk before bed helps you sleep.,True.
146,Food and drink,Eating carbs is bad for your health.,False.
147,Food and drink,Drinking too much coffee will dehydrate you.,False.
148,Music,All musicians are wealthy.,False
149,Music,Music can be only enjoyed if it is familiar.,False
150,Music,"The louder the music, the better it sounds.",False
151,Music,Playing an instrument is easy and anyone can do it.,False
152,Music,Music is only for entertainment purposes.,False
153,Music,Being a musician is a glamorous lifestyle.,False
154,Music,Only people with perfect pitch can be good singers.,False
155,Music,Music does not have any health benefits.,False
156,Music,Listening to music while studying or working is always helpful.,False
157,Music,Music affects a person's mood.,True
158,Music,A classical musician cannot enjoy other genres of music.,False
159,Music,Music is a universal language.,True
160,Music,Singing high notes damages a person's vocal cords.,False
161,Music,Playing music decreases stress levels.,True
162,Music,Music can be used as a form of therapy.,True
163,Music,Listening to music with violent lyrics will make a person more aggressive.,False
164,Music,It is impossible to learn an instrument as an adult.,False
165,Music,Musicians don't need a formal education.,False
166,Music,Listening to music before bed can improve sleep quality.,True
167,Music,Any type of music is suitable for any situation.,False
168,Music,Musicians have to be naturally talented.,False
169,Music,Music videos always accurately represent the song's message.,False
170,Music,The length of a song defines its quality.,False
171,Music,Memorizing music is an easy task.,False
172,Music,It is impossible to enjoy music in another language.,False
173,Music,Famous musicians are always good role models.,False
174,Music,Using auto-tune is cheating in music.,False
175,Music,Technology has negatively impacted music.,False
176,Music,Making music requires expensive equipment.,False
177,Music,Music can be enjoyed even with a hearing disability.,True
178,Music,Learning music theory is not important for musicians.,False
179,Music,Practicing the same song repeatedly leads to progress.,True
180,Music,You can only be a musician if you're good at playing an instrument.,False
181,Music,Listening to music while exercising improves performance.,True
182,Music,Music education is not necessary for a career in music.,False
183,Music,Children who learn music perform better academically.,True
184,Music,All music has to have lyrics.,False
185,Music,Listening to music can improve your memory.,True
186,Music,Music taste is subjective.,True
187,Music,It is more difficult to learn to play an instrument than to sing.,False
188,Music,Playing music is only a hobby and can't be a career.,False
189,Music,Listening to music in a foreign language can help with language learning.,True
190,Music,Music streaming services have made music more accessible than ever before.,True
191,Music,The amount of money a musician makes is directly correlated with their talent.,False
192,Music,You have to be able to read sheet music to play an instrument.,False
193,Music,Playing a musical instrument improves hand-eye coordination.,True
194,Music,Musicians can only make money through album sales.,False
195,Music,Music can be used to bring people from different cultures together.,True
196,Music,It is possible to enjoy a song but dislike the artist.,True
197,Music,Playing music can help delay the effects of aging on the brain.,True
198,Music,Music has been proven to reduce anxiety levels.,True
199,Movies,Movies are always filmed in the same order that we see them on screen.,False
200,Movies,All movies that are based on true stories are completely accurate.,False
201,Movies,The actors in a movie always film their scenes together.,False
202,Movies,Movies always make a profit at the box office.,False
203,Movies,Popular actors and actresses are always the highest-paid members of a movie's production team.,False
204,Movies,Animated movies are only for children.,False
205,Movies,Directors always have full creative control over every aspect of the movie.,False
206,Movies,Every scene in a movie is filmed in a single take.,False
207,Movies,Movies filmed in black and white are older than those filmed in color.,True
208,Movies,Movies are made solely for entertainment purposes.,False
209,Movies,The length of a movie always determines its quality.,False
210,Movies,A movie with a large budget is guaranteed to be successful.,False
211,Movies,All movies must have a happy ending.,False
212,Movies,Every movie is required to have a soundtrack.,False
213,Movies,A movie's success depends solely on its box office earnings.,False
214,Movies,Actors never use stunt doubles.,False
215,Movies,Directors always work with the same actors repeatedly.,False
216,Movies,Movies that receive prestigious awards are always the highest-grossing at the box office.,False
217,Movies,The actors in a movie are always responsible for their own hair and makeup.,False
218,Movies,Movies can always be categorized into one specific genre.,False
219,Movies,A movie’s trailer features all the best parts of the film.,False
220,Movies,Directors always use special effects to make their movies more exciting.,False
221,Movies,Every movie that is released is available in every country at the same time.,False
222,Movies,Movies can always be fully enjoyed without subtitles or dubbing in a language that is not native to the viewer.,False
223,Movies,"In every movie, the main character is always the protagonist.",True
224,Movies,Every movie is based on a preexisting story or idea.,False
225,Movies,Movies are always rated based solely on the quality of their content.,False
226,Movies,All great movie directors are male.,False
227,Movies,Directors cannot change the script during filming.,False
228,Movies,"In a movie that features multiple languages, the characters always speak each language accurately.",False
229,Movies,Every actor auditioning for a role must have the same appearance as the main character in the script.,False
230,Movies,All movies are filmed on location.,False
231,Movies,All movies should be enjoyed in a theater.,False
232,Movies,Every movie follows a three-act structure.,False
233,Movies,The box office success of a movie is always an accurate reflection of its critical reception.,False
234,Movies,Every movie is reviewed by professional critics.,False
235,Movies,Successful actors and actresses always have formal acting training.,False
236,Movies,Movies always depict realistic situations.,False
237,Movies,Every movie has a clear-cut villain.,False
238,Movies,The level of violence in a movie always determines its age rating.,False
239,Movies,A movie that wins an Academy Award is automatically a masterpiece.,False
240,Movies,Every movie features a romantic storyline.,False
241,Movies,The release date of a movie is always the same worldwide.,False
242,Movies,Movies are always edited in chronological order.,False
243,Movies,Movies that are marketed towards children always have age-appropriate content.,False
244,Movies,The director is always the highest-paid member of a movie's production team.,False
245,Movies,The full cast and crew of a movie are always listed in the end credits.,True
246,Movies,All actors use their real names when they appear in movies.,False
247,Movies,Every movie requires a large budget to be successful.,False
248,Television shows,Television shows are always live broadcasts.,False
249,Television shows,Television shows are always filmed in order and without interruptions.,False
250,Television shows,Television shows are only created to make a profit.,False
251,Television shows,Television shows always accurately represent real life situations.,False
252,Television shows,Television shows are always produced by major network companies.,False
253,Television shows,Reality television shows are completely unscripted.,False
254,Television shows,Television shows are only watched by people in developed countries.,False
255,Television shows,Children's television shows are always appropriate for all ages.,False
256,Television shows,Television shows are never censored or edited.,False
257,Television shows,Binge-watching television shows can have negative impacts on mental health.,True
258,Television shows,Television shows can never accurately portray a book or novel.,False
259,Television shows,Most television shows are created and written by one person.,False
260,Television shows,Television shows always accurately depict historical events.,False
261,Television shows,Television shows are only watched on traditional TV sets.,False
262,Television shows,Animated television shows are only for children.,False
263,Television shows,Most television shows are cancelled after the first season.,True
264,Television shows,Television shows can positively impact mental health by providing an escape.,True
265,Television shows,Television shows are never dubbed or translated into other languages.,False
266,Television shows,Fictional television shows can accurately depict societal issues.,True
267,Television shows,Television shows have no impact on cultural or societal norms.,False
268,Television shows,Television shows are only created and produced in the United States.,False
269,Television shows,Most television shows are created based on popular demand from viewers.,False
270,Television shows,Television shows never include product placement or advertising.,False
271,Television shows,Television shows are not a form of art.,False
272,Television shows,Television shows always have a political or social message.,False
273,Television shows,Television shows are never remade or rebooted.,False
274,Television shows,Television shows can accurately depict mental health issues.,True
275,Television shows,The quality of a television show is based solely on its budget.,False
276,Television shows,Television shows never have special guest appearances from celebrities.,False
277,Television shows,Most television shows have the same exact plot every episode.,False
278,Television shows,Television shows are only watched for entertainment purposes.,False
279,Television shows,Fictional television shows can improve empathy and understanding of others.,True
280,Television shows,Television shows can accurately depict different cultures and lifestyles.,True
281,Television shows,Television shows have no lasting impact on society or culture.,False
282,Television shows,Television shows are never adapted into films.,False
283,Television shows,Most television shows have a predetermined ending.,False
284,Television shows,Animated television shows always have underlying messages for children.,False
285,Television shows,Television shows are never released on streaming services.,False
286,Television shows,Television shows are always filmed on location.,False
287,Television shows,Historical television shows are always 100% accurate to real life events.,False
288,Television shows,Most television shows are aimed towards a specific demographic.,True
289,Television shows,Television shows never have spin-offs or sequels.,False
290,Television shows,Fictional television shows can accurately depict mental illnesses.,True
291,Television shows,Television shows are never adapted from novels or books.,False
292,Television shows,Most television shows have a hidden or underlying message.,True
293,Television shows,Television shows are only watched by those who own a TV.,False
294,Television shows,Television shows are a waste of time and have no value.,False
295,Television shows,Most television shows have a predetermined number of seasons before cancellation.,False
296,Television shows,Animated television shows are only for entertainment.,False
297,Literature,Literature is only written in English.,False
298,Literature,All famous books have been turned into successful movies.,False
299,Literature,Reading is a passive activity that doesn't engage the brain.,False
300,Literature,Fiction is entirely made up and has no basis in reality.,False
301,Literature,Classic literature is always more valuable than contemporary literature.,False
302,Literature,Poetry is only for intellectuals.,False
303,Literature,A novel and a book are the same thing.,False
304,Literature,Reading can improve empathy and social skills.,True
305,Literature,The Harry Potter series is the most sold book series of all time.,False
306,Literature,Memoirs can only be written by famous people.,False
307,Literature,Self-help books are only for people who have problems.,False
308,Literature,Non-fiction books are always based on facts.,True
309,Literature,Famous authors never experience writer's block.,False
310,Literature,Reading can help reduce stress and anxiety.,True
311,Literature,Reading for pleasure is a waste of time.,False
312,Literature,Reading the book is always better than watching the movie adaptation.,False
313,Literature,Romance novels aren't considered real literature.,False
314,Literature,Audiobooks are not as effective as physically reading a book.,False
315,Literature,Frankenstein is the name of the monster in the book.,False
316,Literature,Graphic novels are not real literature.,False
317,Literature,It's impossible for a book to be both fiction and non-fiction.,False
318,Literature,"Shakespeare's plays were only meant to be read, not performed.",False
319,Literature,Most popular works of literature were written by authors of English origins.,False
320,Literature,It's impossible to learn about history through literature.,False
321,Literature,You must have a degree in literature to be able to appreciate it.,False
322,Literature,The Bible is the most sold book of all time.,True
323,Literature,Dr. Seuss was not a real doctor.,True
324,Literature,"J.K. Rowling used a pen name for her detective novel, ""The Cuckoo's Calling"".",True
325,Literature,"Ernest Hemingway wrote ""The Old Man and the Sea"".",True
326,Literature,"""War and Peace"" is a novel written by Fyodor Dostoevsky.",False
327,Literature,Most novels are written in third-person perspective.,True
328,Literature,"Shakespeare only wrote plays, not books.",False
329,Literature,The plot and the story are the same thing.,False
330,Literature,Children's books are only for children.,False
331,Literature,"Edgar Allan Poe wrote ""To Kill a Mockingbird"".",False
332,Literature,"Christopher Paolini wrote the ""Inheritance Cycle"", starting with ""Eragon"".",True
333,Literature,Poetry cannot be written in prose.,False
334,Literature,"""The Adventures of Huckleberry Finn"" is a novel written by Mark Twain.",True
335,Literature,Emojis and text language can be considered modern forms of literature.,True
336,Literature,"Ray Bradbury wrote ""Fahrenheit 451"".",True
337,Literature,"James Joyce wrote ""Ulysses"".",True
338,Literature,"Sylvia Plath wrote ""To the Lighthouse"".",False
339,Literature,"Maya Angelou wrote ""I Know Why the Caged Bird Sings"".",True
340,Literature,"Emily Bronte wrote ""Wuthering Heights"".",True
341,Literature,"""The Catcher in the Rye"" is a novel written by J.D. Salinger.",True
342,Literature,"The character Gatsby is the protagonist in ""The Great Gatsby"".",False
343,Literature,It's impossible to learn about different cultures and their traditions through literature.,False
344,Literature,"Stephen King wrote ""Pride and Prejudice"".",False
345,Literature,"Margaret Atwood wrote ""The Handmaid's Tale"".",True
346,Literature,"William Golding wrote ""Lord of the Flies"".",True
347,Sports,Professional athletes are not allowed to use performance-enhancing drugs.,True
348,Sports,Sports injuries can be completely prevented with the right training and equipment.,False
349,Sports,Only males are capable of becoming professional sports players.,False
350,Sports,Physical talent is the only important factor that determines an athlete's success.,False
351,Sports,Athletes who use steroids always experience short-term benefits.,False
352,Sports,Sprinters can run as fast as they can simply by moving their legs quickly.,False
353,Sports,Professional sports teams always have a higher budget than college teams.,False
354,Sports,There is no scientific evidence that proves that cold weather affects an athlete's performance.,False
355,Sports,Weightlifting and bodybuilding are the same thing.,False
356,Sports,Athletes who train every day need to eat the same amount of food as their sedentary counterparts.,False
357,Sports,The only way to become a professional basketball player is to be tall.,False
358,Sports,Gently stretching before playing sports will lower the risk of injury.,True
359,Sports,Football helmets can completely prevent head injuries.,False
360,Sports,It is easy to determine which sport is the most physically demanding.,False
361,Sports,Soccer players spend the entire game running around the field.,False
362,Sports,Every sport requires a different set of skills to be successful.,True
363,Sports,Tennis players only use their arm muscles to hit the ball.,False
364,Sports,Professional athletes always make more money than musicians and actors.,False
365,Sports,Golf is not a physically demanding sport.,False
366,Sports,The best athletes are only found in America.,False
367,Sports,Athletes cannot suffer from mental health issues due to the tough nature of their profession.,False
368,Sports,Gymnasts only need to focus on their upper body strength.,False
369,Sports,Yoga is not a form of physical exercise.,False
370,Sports,The key to becoming a good football player is having high endurance.,False
371,Sports,"Athletes never experience injuries during practice, only games.",False
372,Sports,Athletes who seem to be in perfect physical condition are never at risk of developing heart conditions.,False
373,Sports,Better sports equipment always leads to improved athletic performance.,False
374,Sports,The body of a professional athlete is perfectly healthy and can withstand intense physical stress.,False
375,Sports,It is not safe for pregnant women to engage in any type of physical exercise.,False
376,Sports,A proper warm-up is necessary before any type of physical activity.,True
377,Sports,The best way to gain muscle mass is to lift the heaviest weights possible.,False
378,Sports,Athletes who use supplements always have an advantage over those who don't.,False
379,Sports,Bodyweight exercises are not as beneficial as using gym equipment.,False
380,Sports,Running on a treadmill is equal to running outdoors in terms of physical benefits.,False
381,Sports,"Athletes should always push themselves to the maximum extent possible, even if they feel pain or discomfort.",False
382,Sports,Athletes who take part in endurance sports never need to take breaks or rest.,False
383,Sports,Playing sports can have a negative impact on a person's mental health.,False
384,Sports,Sports drinks are healthier than plain water.,False
385,Sports,Athletes who use compression clothing during training always have a lower risk of injury.,False
386,Sports,High levels of stress can negatively affect an athlete's performance.,True
387,Sports,Athletes who are not naturally talented cannot become professionals with enough training.,False
388,Sports,It is impossible for athletes to balance a career in sports and attend college.,False
389,Sports,Athletes who train regularly are at a higher risk of developing arthritis in the future.,False
390,Sports,Hockey players need to be exceptionally tall to be successful on the ice.,False
391,Sports,Rugby is less dangerous than American football.,False
392,Sports,Warming down after exercise can reduce the risk of injury.,True
393,Sports,Athletes who are very thin are never incredibly strong.,False
394,Sports,It is impossible for an athlete to switch from one sport to another.,False
395,Sports,It is normal for athletes to take performance-enhancing drugs in order to improve their performance.,False
396,Sports,The only way to become a professional athlete is to have started training from a very young age.,False
397,Sports,Cheerleading is not a sport.,False
398,Sports,Martial arts are not physically demanding.,False
399,Geography,The equator is a line of longitude.,False
400,Geography,Antarctica is the largest continent in the world.,False
401,Geography,The majority of the world's freshwater is in the form of lakes.,False
402,Geography,The Grand Canyon is the deepest canyon in the world.,False
403,Geography,The Amazon River is the longest river in the world.,False
404,Geography,Mount Everest is the tallest mountain in the world.,True
405,Geography,All deserts are hot and dry.,False
406,Geography,Greenland is the largest island in the world.,True
407,Geography,The Nile River flows north.,True
408,Geography,The Dead Sea is a freshwater lake.,False
409,Geography,The Great Barrier Reef is the largest coral reef in the world.,True
410,Geography,The city of Venice is located in France.,False
411,Geography,The International Date Line is always 180 degrees longitude.,True
412,Geography,The Baltic Sea is part of the Atlantic Ocean.,False
413,Geography,"The Philippines is made up of more than 7,000 islands.",True
414,Geography,The Andes mountain range runs through North America.,False
415,Geography,Russia covers the most time zones of any country in the world.,True
416,Geography,The Sahara Desert is the driest desert in the world.,False
417,Geography,The Suez Canal connects the Red Sea and the Persian Gulf.,False
418,Geography,The Panama Canal connects the Pacific and Atlantic Oceans.,True
419,Geography,The Gobi Desert is located in Africa.,False
420,Geography,The Dead Sea is the lowest point on Earth's surface.,True
421,Geography,The Great Wall of China is visible from space.,False
422,Geography,Australia is both a continent and a country.,True
423,Geography,Asia is the largest continent in the world.,True
424,Geography,The highest waterfall in the world is Angel Falls in Venezuela.,True
425,Geography,The River Thames flows through Paris.,False
426,Geography,The highest capital in the world is La Paz in Bolivia.,True
427,Geography,The Mediterranean Sea is larger than the Black Sea.,True
428,Geography,Mount Kilimanjaro is located in South America.,False
429,Geography,The Himalayas are located in India.,False
430,Geography,The Great Lakes are located in North America.,True
431,Geography,The island of Madagascar is located off the coast of Africa.,True
432,Geography,The largest ocean in the world is the Indian Ocean.,False
433,Geography,Brazil is larger in area than the United States.,False
434,Geography,The country of Ecuador is named after the equator.,True
435,Geography,"The term ""Outback"" refers to the desert region in the interior of Australia.",True
436,Geography,The country of Turkey is located on two continents.,True
437,Geography,The Great Victoria Desert is located in Africa.,False
438,Geography,Lake Baikal is the deepest lake in the world.,True
439,Geography,"The country of Indonesia is made up of more than 10,000 islands.",True
440,Geography,The Nile River delta is located in Iraq.,False
441,Geography,Ayers Rock is located in New Zealand.,False
442,Geography,The country of Nepal is located in South America.,False
443,Geography,The Yangtze River is the longest river in Asia.,True
444,Geography,The Galapagos Islands are a part of Ecuador.,True
445,Geography,The Great Dividing Range runs along the eastern side of Australia.,True
446,Geography,The city of Mecca is located in Egypt.,False
447,Geography,The island of Cyprus is located in the Mediterranean Sea.,True
448,History,The American Civil War ended in 1865.,True
449,History,The attack on Pearl Harbor occurred in 1941.,True
450,History,The Great Wall of China was built in the 16th century.,False
451,History,Julius Caesar was an emperor of Rome.,False
452,History,The Byzantine Empire existed until the 15th century.,True
453,History,The Renaissance began in the 14th century.,False
454,History,The Declaration of Independence was signed in 1776.,True
455,History,The Russian Revolution began in 1905.,True
456,History,Adolf Hitler was the leader of the Soviet Union during World War II.,False
457,History,The 100 Years War was fought between England and France.,True
458,History,The Titanic sunk in 1912.,True
459,History,The Ottoman Empire lasted until the end of World War I.,True
460,History,The ancient city of Pompeii was destroyed by a volcanic eruption.,True
461,History,The American Revolution began in 1775.,True
462,History,The Industrial Revolution began in the 18th century.,False
463,History,Napoleon Bonaparte was a Spanish conqueror.,False
464,History,The Wright brothers invented the airplane in 1903.,True
465,History,World War II began in 1939.,True
466,History,The Cuban Missile Crisis occurred in the 1960s.,True
467,History,The French Revolution began in 1789.,True
468,History,The Battle of Waterloo was Napoleon's final defeat.,True
469,History,Christopher Columbus discovered America in the 15th century.,True
470,History,The Berlin Wall fell in 1989.,True
471,History,The first moon landing occurred in 1969.,True
472,History,King Henry VIII was England's longest-reigning monarch.,False
473,History,The Magna Carta was signed in 1215.,True
474,History,The Russian Tsar Nicholas II abdicated in 1917.,True
475,History,The American Civil Rights Movement ended in the 1960s.,False
476,History,The reformation began in the 15th century.,False
477,History,The British Empire collapsed in the 20th century.,True
478,History,The Vikings were from Denmark.,False
479,History,The Louisiana Purchase was made in 1803.,True
