,Question,Correct
112,Drinking margaritas made with fresh lime juice is healthier than drinking margaritas made with margarita mix.,True.
113,Honey is a healthier sweetener than sugar.,False.
114,Drinking apple cider vinegar can cure a cold.,False.
115,Cutting an onion will make you cry because of the onion's smell.,False.
116,Coconut oil is a healthy alternative for frying food.,False.
117,Sea salt is lower in sodium than table salt.,False.
118,Drinking carbonated drinks causes kidney stones.,False.
119,Drinking beer after a workout can assist in recovery.,False.
120,Most sushi is served raw.,False.
121,Celery has negative calories.,False.
122,Microwaving plastic containers can release harmful chemicals into your food.,True.
123,Eating chocolate causes acne.,False.
124,Drinking milk will give you stronger bones.,True.
125,Starving myself will help me lose weight faster.,False.
126,Drinking warm milk before bed will help you fall asleep.,True.
127,Red wine is good for your heart.,True.
128,Eating food that has been dropped on the floor for less than 5 seconds is safe to eat.,False.
129,Drinking too much water can cause water intoxication.,True.
130,Consuming spicy food can cause stomach ulcers.,False.
131,Adding salt to water will make it boil faster.,True.
132,Eating foods high in cholesterol will increase your blood cholesterol level.,False.
133,Drinking green tea can help you burn fat.,True.
134,Drinking fruit juice is as healthy as eating whole fruit.,False.
135,Eating carrots will improve your eyesight.,True.
136,Eating turkey makes you sleepy because it contains tryptophan.,False.
137,Drinking water before a meal will help you eat less.,True.
138,Eating spicy food can speed up your metabolism.,False.
139,Consuming too much sugar can cause diabetes.,False.
140,Drinking red bull can give you wings.,False.
141,Drinking coffee can increase your lifespan.,True.
142,Eating ice cream before bed can cause nightmares.,False.
143,Eating a low-carb diet is the most effective way to lose weight.,False.
144,Eating spicy food can cause heartburn.,True.
145,Drinking alcohol in moderation is good for your health.,False.
146,Eating food that has freezer burn is safe to eat.,True.
147,Drinking milk can cause mucus build-up in your throat.,False.
148,Music can only be considered good if it is popular.,False.
149,A musician needs to be able to read sheet music to be successful.,False.
150,All musicians are good performers.,False.
151,Playing an instrument is the only way to be involved in making music.,False.
152,Music is not considered a form of art.,False.
153,Electronic music is not “real” music.,False.
154,Music education is not important for aspiring musicians.,False.
155,Anybody can learn to sing with practice.,True.
156,Only people with “perfect pitch” can be great musicians.,False.
157,"The more expensive a musical instrument is, the better it sounds.",False.
158,Listening to music while studying can help improve focus and productivity.,True.
159,It’s difficult to make a living as a musician.,True.
160,All great musicians are famous.,False.
161,Musical tastes are completely subjective and cannot be judged.,False.
162,The only way to appreciate classical music is to be well-educated in the genre.,False.
163,Playing music can be a form of therapy.,True.
164,The only way to compose or write music is with an instrument in hand.,False.
165,Electronic instruments are not “real” instruments.,False.
166,The only reason people listen to music is for entertainment.,False.
167,Learning to play an instrument at a young age is easier than learning as an adult.,True.
168,Listening to music with explicit lyrics can negatively impact an individual’s behavior.,False.
169,Exposure to music at a young age can improve cognitive development.,True.
170,Collaborating with other musicians is not important for success in music.,False.
171,Learning to read sheet music is necessary for all musicians.,False.
172,Listening to music on a low volume is not damaging to your ears.,False.
173,Music can have different effects on individuals depending on their current emotional state.,True.
174,There is no difference between “digital” music and “analog” music.,False.
175,The only way to appreciate music is through lyrics with a personal message.,False.
176,Memorizing music is only important for live performances.,False.
177,Music created for movies and TV shows is not considered “real” music.,False.
178,Playing classical music on a guitar is not valid.,False.
179,Heavy metal music always has aggressive and violent themes.,False.
180,The bass is not as important as the other instruments in a band.,False.
181,The only way to make a successful career in music is through live performances.,False.
182,Only solo musicians can showcase their musical skills.,False.
183,Improvisation is not a key part of creating music.,False.
184,Any music created using a computer is not “real” music.,False.
185,A great singer must always have perfect pitch.,False.
186,"The more complex a song is, the better it sounds.",False.
187,Classical music is only for the elderly.,False.
188,Learning to read music is important for all aspiring classical musicians.,True.
189,All popular music is shallow and lacks depth.,False.
190,Music has no impact on memory and learning abilities.,False.
191,Listening to music with headphones on high volume can damage your hearing.,True.
192,Music can be a form of cultural expression.,True.
193,Music can have positive effects on mental health and emotional well-being.,True.
194,Playing music is a waste of time and cannot lead to a successful career.,False.
195,You need to have natural talent to become a great musician.,False.
196,Being a musician requires constant dedication and hard work.,True.
197,Music has been around since the beginning of human history.,True.
198,Music is a universal language that can connect people from different cultures.,True.
199,Listening to music can positively impact physical workouts.,True.
200,Horror movies are more profitable than romantic comedies.,True
201,The majority of Hollywood movies are remakes or adaptations of books.,True
202,Animated movies are only for children.,False
203,Most actors do their own stunts.,False
204,The Oscars have always been a prestigious award ceremony.,False
205,Action movies have the most elaborate special effects.,True
206,Sequels always make less money than the original movie.,False
207,Direct-to-DVD movies are of lower quality than theatrical releases.,Not necessarily true
208,Stanley Kubrick won an Oscar for Best Director for '2001: A Space Odyssey.',False
209,Most movies are shot in Hollywood.,False
210,Steven Spielberg directed all the Indiana Jones movies.,False
211,Hollywood movies are only made in English.,False
212,The first movie ever made was filmed in color.,False
213,'The Godfather' is the highest-grossing movie of all time.,False
214,James Cameron directed both 'Titanic' and 'Avatar.',True
215,Most movies are filmed in chronological order.,False
216,The first movie with sound was released in the early 1920s.,True
217,Movies based on true stories are always accurate.,False
218,Animated movies are never nominated for Best Picture.,False
219,All movies that win Best Picture at the Oscars are critically acclaimed.,False
220,The majority of Hollywood movies are R-rated.,False
221,Marvel Studios has only ever produced one movie.,False
222,Movies with big-name actors always do well at the box office.,False
223,The majority of movie theaters in the world are independently owned.,False
224,Stanley Kubrick's final movie was 'Eyes Wide Shut.',True
225,Will Smith turned down the role of Neo in 'The Matrix.',True
226,The movie 'Jaws' was released in the 1990s.,False
227,The highest-grossing R-rated movie of all time is 'The Matrix Reloaded.',False
228,Christopher Nolan directed the movie 'Inception.',True
229,The longest movie ever made is 24 hours long.,False
230,The majority of movies are filmed on location rather than on sets.,False
231,Tom Cruise has never won an acting Oscar.,True
232,Science fiction movies rarely win Best Picture at the Oscars.,True
233,The majority of movies released each year are rated R.,False
234,The movie 'The Shawshank Redemption' was a box office bomb.,True
235,Leonardo DiCaprio won his first Oscar for his role in 'The Wolf of Wall Street.',False
236,Movie trailers always accurately reflect the final movie.,False
237,The first movie ever shown in a theater was only a few minutes long.,True
238,A movie's rating is always determined by the content of the movie itself.,True
239,The movie 'A Clockwork Orange' was banned in the United States.,False
240,The majority of movies are made with a budget of less than $10 million.,True
241,The movie 'Forrest Gump' was based on a book.,True
242,Steven Spielberg directed the movie 'Pulp Fiction.',False
243,Horror movies are always violent.,False
244,The movie 'The Lion King' was directed by Tim Burton.,False
245,Most movies take less than a year to make.,False
246,A director's cut of a movie always includes significant changes to the plot.,False
247,The majority of movies are shot on digital cameras rather than film.,True
248,The highest-grossing movie of all time is 'Gone with the Wind.',False
249,The majority of Oscar-winning Best Pictures are dramas.,True
250,Movie popcorn is more expensive than movie tickets themselves.,True
251,Television shows are always filmed in chronological order.,False
252,TV show actors are always paid more than the writers.,False
253,TV ratings are only based on live viewership.,False
254,All TV shows are shot in Los Angeles.,False
255,TV shows are never edited after they have aired.,False
256,Reality TV shows are always 100% real.,False
257,TV shows are only cancelled due to low ratings.,False
258,All TV shows are available to stream online.,False
259,TV shows always air at the same time in all time zones.,False
260,TV shows that are based on books always follow the book's storyline exactly.,False
261,TV shows can't continue without their main actor.,False
262,TV shows never incorporate product placement.,False
263,TV show episodes are always the same length.,False
264,TV show writers never use real events as inspiration for storylines.,False
265,All TV shows are produced by major television networks.,False
266,TV shows never air reruns.,False
267,TV show characters always use their own voices.,False
268,TV shows are always given a proper ending or series finale.,False
269,TV networks always air their shows in the same timeslot every week.,False
270,TV shows never incorporate CGI or special effects.,False
271,TV shows are never adapted from foreign shows.,False
272,TV shows always have a laugh track.,False
273,TV show actors are always comfortable shooting intimate scenes.,False
274,TV showrunners never take creative liberties with source material.,False
275,TV shows never change their opening theme song.,False
276,TV shows never air unfinished episodes.,False
277,TV characters never wear the same outfit more than once.,False
278,"TV shows always have a set number of seasons, determined before the first episode airs.",False
279,TV shows never address social or political issues.,False
280,TV shows never incorporate musical numbers.,False
281,TV shows never have actors play characters of a different ethnicity.,False
282,TV networks always notify viewers in advance of a show's cancellation.,False
283,TV shows never have crossover episodes with other shows.,False
284,TV show locations are always actual places.,False
285,TV shows are always shot with multiple cameras at once.,False
286,TV shows never have guest stars.,False
287,TV shows never have plot twists.,False
288,TV show actors always get along off-camera.,False
289,TV shows never portray inaccurate representations of certain professions or cultures.,False
290,TV shows never have spin-off series.,False
291,All TV shows are broadcasted live.,False
292,TV shows are never created to sell merchandise.,False
293,Producers of TV shows never change the show's direction based on audience feedback.,False
294,TV shows never have to change their name due to copyright issues.,False
295,TV show pilots always air as the first episode of a new series.,False
296,TV shows never have actors portraying themselves.,False
297,TV shows never promote unhealthy habits or behaviors.,False
298,TV shows never use green screens.,False
299,TV show writers never incorporate their own personal experiences into the storyline.,False
300,Fictional stories are always completely made up by the author.,False- many fictional stories incorporate real-life events or people.
301,All poems have to rhyme to be considered poetry.,False- free verse poetry does not rely on rhyme.
302,The narrator and the author are always the same person in a book.,False- the narrator may be a separate character or voice from the author.
303,Classic literature is always easy to read and understand.,False- classic literature can be dense and difficult to understand due to its use of archaic language or complex themes.
304,All autobiographical novels are completely true to the author's life.,False- authors often take creative liberties and embellish or exaggerate certain aspects of their life in autobiographical works.
305,A novella is the same thing as a short story.,False- a novella is longer than a short story but shorter than a novel.
306,"A metaphor always uses the words ""like"" or ""as"".","False- a metaphor makes a comparison without using ""like"" or ""as""."
307,All books that are turned into movies are direct adaptations of the book.,False- movies often take creative liberties and deviate from the source material.
308,All comic books are superhero stories.,"False- comic books can cover a wide range of genres, including drama, horror, and science fiction."
309,Shakespeare's plays were originally written in modern English.,"False- Shakespeare's plays were written in Early Modern English, which is significantly different from modern English."
310,The protagonist is always the hero of a story.,False- a protagonist can be a complicated or flawed character and may not always be a hero.
311,Non-fiction books are always completely factual.,"False- non-fiction books can contain biases, opinions, and interpretations of events."
312,"All romantic novels are ""chick lit"".",False- romantic novels can be written and enjoyed by people of any gender.
313,The Harry Potter series was written by an American author.,False- the series was written by British author J.K. Rowling.
314,Graphic novels and comic books are the same thing.,"False- graphic novels are longer and typically tell a complete story, while comic books are shorter and are often part of a series."
315,Short stories are always easier to write than novels.,"False- short stories require the same level of craft and storytelling as novels, but have less room to develop characters and plot."
316,The climax of a story always happens at the end.,False- the climax can happen at any point in the story and is the highest point of tension or conflict.
317,"The phrase ""the pen is mightier than the sword"" originated in Shakespeare's play Macbeth.",False- the phrase is attributed to English author Edward Bulwer-Lytton.
318,All works of literature have a theme or central message.,True.
319,All memoirs are non-fiction.,True.
320,The Bible is considered a work of literature.,True.
321,Stephenie Meyer's Twilight series is considered a classic work of literature.,"False- the series has not yet reached ""classic"" status."
322,A novella is longer than a novellalette.,False- a novellalette is longer than a novella.
323,J.R.R. Tolkien's The Hobbit is the first book in the Lord of the Rings series.,True.
324,A sonnet always has 16 lines.,False- a sonnet typically has 14 lines.
325,A poem with a regular rhyme scheme is always easier to understand than a poem without one.,False- a regular rhyme scheme does not necessarily make a poem easier to understand.
326,A novella is the same thing as a novelette.,False- a novella is longer than a novelette.
327,A book with a red cover is always a romance novel.,False- a book's cover color does not necessarily indicate its genre.
328,"The author of the Harry Potter series, J.K. Rowling, is a billionaire.",True.
329,A prequel is a story that comes after a previously published story.,False- a prequel is a story that comes before a previously published story.
330,Kurt Vonnegut's Slaughterhouse-Five is a work of science fiction.,True.
331,"The genre ""Young Adult"" always refers to books with teenage protagonists.","False- Young Adult books can feature protagonists of any age range, but are usually marketed to a teenage demographic."
332,All books with illustrations are children's books.,"False- some adult books, such as graphic novels and comic book biographies, contain illustrations."
333,The Great Gatsby is set in the 1920s.,True.
334,A prologue is always set after the main events of a story.,False- a prologue can be set before the main events of the story.
335,It is impossible for a book to be both fiction and non-fiction.,"False- some books, such as historical fiction, blend elements of both fiction and non-fiction."
336,"Ernest Hemingway's writing style is characterized by long, descriptive sentences.","False- Hemingway's writing style is characterized by short, concise sentences."
337,A book with a first-person narrator always provides a subjective view of events.,True.
338,A book that is part of a series can only be understood if the previous books have been read.,"False- while reading previous books in a series may provide context, each individual book should be able to stand on its own."
339,The main conflict in a story is always between the protagonist and the antagonist.,False- the main conflict can be between any characters or even internal to the protagonist.
340,"""Allegory"" and ""metaphor"" mean the same thing.","False- while both use symbolism, an allegory is a story with a hidden meaning, while a metaphor makes a comparison."
341,All plays are meant to be performed on a stage.,True.
342,The Odyssey is an epic poem.,True.
343,"A book that is ""based on a true story"" is always 100% accurate.",False- books based on true stories often take creative liberties for the sake of storytelling.
344,"The term ""stream of consciousness"" refers to a narrative mode that mimics the flow of a character's thoughts.",True.
345,A book can only belong to one genre.,False- many books can belong to multiple genres.
346,A novella is always shorter than a novel.,True.
347,A character's motivation in a story is always explicitly stated by the author.,False- a character's motivation may be implied through their actions and dialogue rather than explicitly stated.
348,Shakespeare wrote over 100 plays.,True.
349,"In baseball, a foul ball hit with two strikes counts as a strikeout.","False, a foul ball hit with two strikes is considered a strike but does not result in a strikeout."
350,It is legal for a soccer goalkeeper to pick up a back-pass from their own teammate.,"False, a goalkeeper is not allowed to handle a deliberate back-pass from their own teammate."
351,It is legal to tackle an opponent below the waist in American football.,"True, tackling an opponent below the waist is legal in American football."
352,"In cricket, the bowler can be penalized for throwing or ""chucking"" the ball.","True, if a bowler straightens their elbow during the bowling action, they can be penalized for throwing or ""chucking"" the ball."
353,A yellow card in soccer results in the player being sent off for the rest of the game.,"False, a yellow card is a warning and does not result in the player being sent off the field, but a red card does."
354,"In basketball, a slam dunk always counts as two points.","True, a slam dunk always results in two points being awarded in basketball."
355,The team with the most home runs in a baseball game always wins.,"False, while home runs contribute to a team's score, the team with the most runs overall wins the game."
356,"In rugby, the ball can only be passed backwards to a teammate.","True, passing the ball forwards is not allowed in rugby."
357,"In tennis, the ball is in play as soon as the server tosses the ball in the air.","False, the ball is not in play until the server makes contact with the ball and completes the serve."
358,The use of performance-enhancing drugs is legal in professional sports.,"False, the use of performance-enhancing drugs is illegal in professional sports and can result in severe penalties for athletes."
359,"In golf, the player who finishes each hole in the fewest number of strokes wins.","True, the player with the lowest number of strokes overall wins the golf tournament."
360,"In cricket, a ""duck"" refers to a score of zero.","True, if a player is out without scoring any runs, they are said to have scored a ""duck."""
361,Players are not allowed to touch the ball with their hands or arms in soccer.,"False, players are allowed to touch the ball with their feet, head, torso, and arms below the shoulder in soccer."
362,"In American football, a touchdown is worth six points.","True, scoring a touchdown in American football results in six points."
363,"In hockey, a player can score a goal by kicking the puck into the net with their skates.","False, a player cannot score a goal by kicking the puck into the net with their skates in hockey."
364,"In basketball, a player can shoot a free-throw after being fouled by an opposing player.","True, a player can shoot a free-throw after being fouled in basketball."
365,"In tennis, the term ""love"" refers to a score of zero.","True, a score of zero in tennis is referred to as ""love."""
366,A tie game in soccer is decided by a penalty shoot-out.,"False, a tie game in soccer can end in a draw or, in some cases, extra time or a golden-goal rule may be used."
367,"In American football, the offense is allowed to have one forward pass per play.","True, the offense is allowed to have one forward pass per play in American football."
368,"In boxing, a TKO (technical knockout) means that a fighter was knocked out cold.","False, a TKO means that the referee deemed a fighter unable to continue the fight due to injury or other circumstances."
369,"In baseball, a player can be called out if hit by a batted ball in fair territory.","True, if a player is hit by a batted ball in fair territory before the ball is touched by a defensive player, they can be called out."
370,"In soccer, a goalkeeper can only hold onto the ball for up to 10 seconds.","True, a goalkeeper can only hold onto the ball for up to 10 seconds before it must be released into play."
371,"In basketball, a player can be called for traveling if they take more than two steps without dribbling.","True, taking more than two steps without dribbling is considered traveling in basketball."
372,"In football (soccer), a direct free-kick is awarded for non-contact fouls such as obstruction or holding.","False, indirect free-kicks are awarded for non-contact fouls such as obstruction or holding in soccer."
373,"In tennis, a player is only allowed to hit the ball once per turn.","False, players are allowed to hit the ball as many times as necessary, provided it does not bounce more than once before crossing the net."
374,A hat-trick in soccer refers to scoring three goals in a single game.,"True, scoring three goals in a single game is referred to as a hat-trick in soccer."
375,"In hockey, the team that commits a penalty plays shorthanded for the duration of the penalty.","True, the team that commits a penalty in hockey plays with one fewer player (shorthanded) for the duration of the penalty."
376,"In basketball, the entire ball must pass through the hoop for a basket to count.","True, the entire ball must pass through the hoop in basketball for a basket to count."
377,"In baseball, a player can be called out for interference if they obstruct a fielder trying to make a play.","True, obstructing a fielder trying to make a play can result in a player being called out for interference in baseball."
378,"In American football, each team is allowed one timeout per quarter.","False, each team is allowed three timeouts per half in American football."
379,"In soccer, a match can be won in extra time if a team scores a goal.","True, a match can be won in extra time if a team scores a goal in soccer."
380,"In rugby, a try is worth five points.","True, scoring a try in rugby results in five points."
381,"In tennis, a player must win a game by at least two points.","False, a player only needs to win a game by one point (known as a ""deuce"") in tennis."
382,A double fault in tennis refers to serving two consecutive faults in a row.,"True, serving two consecutive faults in a row is referred to as a double fault in tennis."
383,"In American football, the quarterback is not allowed to run with the ball.","False, the quarterback is allowed to run with the ball in American football."
384,"In soccer, a penalty kick is taken from the center of the field.","False, a penalty kick is taken from the penalty spot, which is 12 yards away from the goal."
385,"In boxing, a fighter can win by knockout, technical knockout, or decision.","True, a fighter can win by knockout, technical knockout, or decision in boxing."
386,"In golf, a player is allowed to touch and move their ball before taking a shot.","False, a player is only allowed to touch and move their ball under certain circumstances (such as marking it) in golf."
387,"In basketball, the clock stops after a made basket.","False, the clock continues to run after a made basket in basketball."
388,"In soccer, the ball is considered out of bounds if it crosses over the goal line without a goal being scored.","False, if the ball crosses over the goal line without a goal being scored, it results in a goal kick or corner kick depending on which team touched the ball last."
389,"In baseball, a player must touch all three bases when running the bases for a home run to count.","False, a player only needs to touch first, second, and third base (in that order) for a home run to count in baseball."
390,"In American football, a touchdown can be scored by catching a pass in the end zone.","True, catching a pass in the end zone results in a touchdown in American football."
391,"In basketball, a player can be called for a traveling violation if they take too many steps without dribbling.","True, taking too many steps without dribbling is considered a traveling violation in basketball."
392,"In hockey, the team with the most goals at the end of the game wins.","True, the team with the most goals overall wins the hockey game."
393,"In soccer, a player can score with any part of their body except their hands and arms.","True, except for the goalkeeper within their designated penalty box, a player cannot touch the ball with their hands or arms in soccer."
394,"In tennis, a player is allowed to catch the ball before it hits the ground.","False, catching the ball before it hits the ground results in a point for the opponent in tennis."
395,"In American football, a field goal is worth three points.","True, kicking the ball through the opponent's goalposts results in a field goal worth three points in American football."
396,"In rugby, a player can score a try by touching the ball down in the opponent's end zone.","True, touching the ball down in the opponent's end zone results in a try worth five points in rugby."
397,"In baseball, a balk occurs when a pitcher makes an illegal motion on the mound.","True, making an illegal motion on the mound can result in a balk being called in baseball."
398,"In soccer, a yellow card results in the player being sent off the field.","False, a yellow card is a warning and does not result in the player being sent off the field, but a red card does."
399,"In hockey, the goalie is allowed to play the puck outside of their designated area.","False, the goalie is not allowed to play the puck outside of their designated area (known as the ""trapezoid"") in hockey."
400,"In basketball, a player can only dunk the ball if they are standing still on the court.","False, a player can dunk the ball from a running start or while jumping in basketball."
401,The highest point in North America is Mount Everest.,False.
402,The equator passes through Brazil.,True.
403,The Sahara Desert is located in South America.,False.
404,The United States has the largest land area of any country in the world.,False.
405,Antarctica is the coldest continent in the world.,True.
406,Hawaii is located farther south than Florida.,False.
407,Greenland is larger than Australia.,False.
408,The Nile River is the longest river in the world.,False.
409,The Grand Canyon is located in Colorado.,False.
410,Lake Victoria is the largest lake in Africa.,True.
411,The Great Barrier Reef is located off the coast of Brazil.,False.
412,The Amazon River is the longest river in South America.,True.
413,The Andes Mountains run through Argentina.,True.
414,The United Kingdom is a country in Europe.,True.
415,The Dead Sea is located in the United States.,False.
416,The United States shares a land border with Russia.,False.
417,The Tropic of Cancer is located north of the equator.,True.
418,The Great Lakes are located in Africa.,False.
419,Mount Kilimanjaro is the tallest mountain in Africa.,True.
420,All of Japan is located on a single island.,False.
421,The Nile River flows south to north.,False.
422,Australia is both a continent and a country.,True.
423,The Himalayan mountain range is located in South America.,False.
424,The Gobi Desert is located in North America.,False.
425,The Panama Canal is located in South America.,True.
426,The Rocky Mountains are located in Canada.,True.
427,The Eiffel Tower is located in London.,False.
428,The Dead Sea is the saltiest body of water in the world.,True.
429,The Great Wall of China is the longest wall in the world.,True.
430,The longest river in the United States is the Missouri River.,False.
431,The city of Bangkok is located in Japan.,False.
432,The island of Madagascar is located off the coast of Africa.,True.
433,The city of Mumbai is located in India.,True.
434,The island nation of Fiji is located in the Caribbean Sea.,False.
435,Mount Fuji is located in China.,False.
436,The South Pole is located on a continent.,True.
437,The Alps mountain range is located in Asia.,False.
438,The city of Istanbul is located in Europe and Asia.,True.
439,The largest canyon in the world is the Grand Canyon.,False.
440,The city of Moscow is located in Russia.,True.
441,The Arctic Ocean is the smallest ocean in the world.,False.
442,The city of Johannesburg is located in South Africa.,True.
443,The Caribbean Sea is located between South America and Africa.,False.
444,The country of Mexico is located in South America.,False.
445,The Baikal Lake is located in Russia.,True.
446,The highest waterfall in the world is Angel Falls.,True.
447,The ocean that is located completely in the Southern Hemisphere is the Indian Ocean.,False.
448,The Ring of Fire is a region located in the Pacific Ocean known for its volcanic and seismic activity.,True.
449,History is a record of objective facts.,False.
450,History is just a list of important people and events.,False.
451,Historical events are always accurately portrayed in movies and TV shows.,False.
452,History is always written by the victors.,False.
453,Historical interpretations can change over time.,True.
454,Historians always agree on the meaning and significance of historical events.,False.
455,Historical documentaries are always accurate.,False.
456,History is just a bunch of names and dates to memorize.,False.
457,History only includes events that have been written down.,False.
458,Historical context is not important in understanding events.,False.
459,Historical events can have multiple causes.,True.
460,Historical bias can influence how events are remembered and recorded.,True.
461,Historical events always follow a predictable pattern.,False.
462,History is only relevant to people interested in the past.,False.
463,Historians are always objective in their interpretation of events.,False.
464,History is a social science.,True.
465,Historical events can teach us important lessons about the present.,True.
466,History is linear and progresses in a straight line.,False.
467,History textbooks are always accurate and unbiased.,False.
468,Historical events always have a clear moral lesson.,False.
469,Historical events are always a result of individual actions.,False.
470,History is completely subjective and cannot be trusted.,False.
471,History only involves human events.,False.
472,Historical events are always driven by economic factors.,False.
473,Historical events are always influenced by cultural factors.,True.
474,"History is only useful for understanding the past, not the present or future.",False.
475,Historical events can have unintended consequences.,True.
476,History is not relevant in the modern era.,False.
477,Historical events should never be repeated.,False.
478,History is a science based on empirical evidence.,False.
479,Historical events are always recorded by eyewitnesses.,False.
480,Historical events can be interpreted differently based on cultural background.,True.
481,History is important for understanding national identity.,True.
482,Historical events can be influenced by technological advancements.,True.
483,History is important for understanding global events.,True.
484,Historical events can have both positive and negative consequences.,True.
485,History is only about events that happened a long time ago.,False.
486,Historical events can be influenced by social movements.,True.
487,History can be used to justify political agendas.,True.
488,Historical events can be studied through archaeology.,True.
489,Historical events can be influenced by environmental factors.,True.
490,Historical events can be studied through documents and artifacts.,True.
491,History is always written down in official records.,False.
492,Historical events can be studied through oral tradition.,True.
493,"History is only about what has been preserved, not what has been lost.",False.
494,Historical events can have different interpretations based on political agendas.,True.
495,History is apolitical and objective.,False.
496,Historical events can be studied through art.,True.
497,Historical events can be influenced by religious beliefs.,True.
498,All bacteria are harmful to humans.,False.
499,The Earth is flat.,False.
500,A scientific theory is just a guess or speculation.,False.
501,Evolution is just a theory.,True.
502,The Big Bang theory explains the origin of life.,False.
503,Humans only use 10% of their brain.,False.
504,Climate change is a myth.,False.
505,The sun revolves around the Earth.,False.
506,Humans and dinosaurs co-existed.,False.
507,Viruses are alive.,False.
508,Sound travels faster than light.,False.
509,The Earth's magnetic field protects us from the sun’s radiation.,True.
510,E=mc² means that mass can be converted into energy.,True.
511,Water boils at a higher temperature at higher altitudes.,False.
512,A scientific law explains why something happens.,True.
513,An asteroid impact caused the extinction of dinosaurs.,True.
514,The color of light determines its wavelength.,True.
515,Your weight changes when you move from one planet to another.,True.
