,Question,Correct
337,Betsy Ross is credited with sewing the first American flag.,True
338,Johann Sebastian Bach was a famous painter.,False
339,The first Thanksgiving was celebrated by the Pilgrims and Native Americans.,True
340,The Cold War was a time of tension between the United States and the Soviet Union.,True
341,The Earth is flat.,False
342,Sharks are mammals.,False
343,Elephants lay eggs.,False
344,Flowers are a type of insect.,False
345,A cat is a type of fish.,False
346,The sun revolves around the Earth.,False
347,Ice cream is a type of vegetable.,False
348,Green is a type of fruit.,False
349,Tigers have wings.,False
350,Santa Claus is real.,False
351,Trees can walk.,False
352,People can fly without a plane.,False
353,Spiders are not insects.,True
354,The moon is made of cheese.,False
355,The sun is a planet.,False
356,Apples grow on trees.,True
357,Water is wet.,True
358,Cars can talk.,False
359,The Earth is the largest planet in the solar system.,False
360,Elephants are smaller than cats.,False
361,The ocean is made of chocolate.,False
362,Dinosaurs still exist today.,False
363,Flowers need water to grow.,True
364,A pencil is used to write.,True
365,A school is where animals live.,False
366,Is water wet?,True
367,Do plants make oxygen for us to breathe?,True
368,Is the sun a star?,True
369,Is the Earth round?,True
370,Do fish live in the water?,True
371,Does fire need oxygen to burn?,True
372,Do birds lay eggs?,True
373,Do magnets attract certain metals?,True
374,Is the moon brighter than the stars at night?,True
375,Can we see with our eyes?,True
376,Can we breathe underwater?,True
377,Do bees make honey?,True
378,Does the Earth rotate around the Sun?,True
379,Does ice melt when it gets hot?,True
380,Is air transparent?,True
381,Do people need food to live?,True
382,Do flowers need sunlight to grow?,True
383,Can we see our breath when it's cold outside?,True
384,Is the sky blue?,True
385,Do animals have bones?,True
386,Do we have five fingers on each hand?,True
387,Is the North Pole cold?,True
388,Does light travel faster than sound?,True
389,Are rocks alive?,False
390,Does the sun revolve around the Earth?,False
391,Can plants grow without water?,False
392,Do birds fly upside down?,False
393,Is the ocean purple?,False
394,Can we breathe in space?,False
395,Do stars move?,False
396,Did dinosaurs still exist?,False
397,Is the sky orange?,False
398,Can we breathe underwater without any help?,False
399,Do trees have arms and legs like people?,False
400,Does fire need water to burn?,False
401,Are spiders mammals?,False
402,Can we hear sound in space?,False
403,Can people see in the dark?,False
404,Can fish survive outside of water?,False
405,Are dogs and cats the same species?,False
406,Can we travel to the center of the Earth?,False
407,Are potatoes animals?,False
408,Can we touch the wind?,False
409,Is the Earth flat?,False
410,Do plants eat meat?,False
411,Can we fly without anything to help us?,False
412,Can people have superpowers?,False
413,1+1=2.,True
414,2+2=5.,False
415,0+3=3.,True
416,4-2=2.,True
417,7-3=5.,False
418,6-6=1.,False
419,A triangle has three sides.,True
420,A circle has four sides.,False
421,2 is greater than 5.,False
422,There are 12 months in a year.,True
423,A square has four equal sides.,True
424,10 is an even number.,True
425,9 is an odd number.,True
426,A rectangle has two long sides and two short sides.,True
427,1+2+3=6.,True
428,10-5=5.,True
429,4+4+4=12.,True
430,1+4=3.,False
431,6+2=8.,True
432,A hexagon has six sides.,True
433,A pentagon has eight sides.,False
434,"If you add 0 to any number, the answer stays the same.",True
435,Divide 10 by 2 equals 5.,True
436,A rhombus has four equal sides.,True
437,3 times 4 equals 12.,True
438,2+3=5.,False
439,1+1=3.,False
440,A rectangle has three equal sides.,False
441,A triangle has four sides.,False
442,9-1=10.,False
443,4 times 4 equals 12.,False
444,6 is less than 5.,False
445,A line has two endpoints.,False
446,A square has three equal sides.,False
447,20 is an odd number.,False
448,2 is equal to 3.,False
449,8 is an odd number.,False
450,7 is an even number.,False
451,1+2+3=7.,False
452,A trapezoid has three sides.,False
453,A polygon has one side.,False
454,50 divided by 10 equals 5.,False
455,15 minus 7 equals 7.,False
456,3 is greater than 6.,False
457,A square has five equal sides.,False
458,A circle has three sides.,False
459,A hexagon has seven sides.,False
460,You can divide by zero.,False
461,A parallelogram has four right angles.,False
462,Art is a way to express feelings and ideas.,True
463,Paint can be used to create art.,True
464,Sculpture is a type of art.,True
465,Drawing is a way to create art.,True
466,A canvas is a surface for painting.,True
467,Music is not a form of art.,False
468,"Art can be made with pencils, crayons, markers, and paint.",True
469,You can use your imagination when making art.,True
470,"Van Gogh, Monet and Leonardo da Vinci were famous artists.",True
471,"Art can be found inside museums, galleries, and on the street.",True
472,"Art can be found in nature, such as flowers, trees and rocks.",True
473,Art can be realistic or abstract.,True
474,Photography is a type of art.,True
475,"Art can be made with paper, cardboard, or wood.",True
476,Art is not important in our lives.,False
477,Graffiti is not an art form.,False
478,A sculpture is a type of art that is 2D.,False
479,"Art can be found in books, movies, and video games.",True
480,Art can tell a story.,True
481,Art can be found in different cultures around the world.,True
482,"Art can make people happy, sad, surprised, or thoughtful.",True
483,"Art can have different textures, such as smooth or rough.",True
484,Art can be made with recycled materials.,True
485,Art is only for talented people.,False
486,Art is fun and creative.,True
487,Music is not a form of art.,False
488,Art is only about drawing.,False
489,Only adults can make art.,False
490,Any piece of paper can be used for painting.,False
491,Art can only be found in museums.,False
492,It's impossible to make art without a brush.,False
493,Art is only for rich people.,False
494,Sculptures are only made out of clay.,False
495,Art is not important in our lives.,False
496,Art can only be realistic.,False
497,Art is only about copying images.,False
498,Art is always colorful.,False
499,Art is just a hobby.,False
500,Art is always meaningful and has a message behind it.,False
501,Art is not a form of communication.,False
502,Photography is not considered art.,False
503,Art is not a way to express oneself.,False
504,Only certain colors can be used in art.,False
505,"Anyone can make art, no matter their age, gender, or nationality.",True
506,Art can be anything that is creative and expresses an idea or emotion.,True
507,Graffiti can be a form of art.,True
508,Art can be found all over the world.,True
509,It's not necessary to be famous to create art.,True
510,Art can be made with natural materials.,True
511,"Art is not just about the final product, but also the process of creating it.",True
512,Technology is something people use every day.,True
513,Computers are a type of technology.,True
514,Cars are not a type of technology.,False
515,Cellphones have cameras.,True
516,Tablets are heavier than laptops.,False
517,The internet is a place where people can find information.,True
518,Smartwatches are a type of technology.,True
519,TV is not a type of technology.,False
520,People use keyboards to type on computers.,True
521,People use pencils to write on computers.,False
522,Cameras are not a type of technology.,False
523,People use headphones to listen to music.,True
524,People listen to music by shouting out loud.,False
525,People can't see videos on their computers.,False
526,People can watch videos on their phones.,True
527,People use remote control to change TV channels.,True
528,People use TV to make phone calls.,False
529,People can't use technology to read.,False
530,People can use a printer to print papers.,True
531,People can't use technology to play games.,False
532,People use technology to listen to others on the phone.,True
533,People can't use technology to watch movies.,False
534,People use handheld devices to text their friends.,True
535,People can't use technology to check the weather.,False
536,People can use technology to find recipes for cooking.,True
537,Laws are rules that people must follow.,True
538,Elections are when people choose their leaders.,True
539,Presidents are in charge of a country.,True
540,Every person has the right to vote.,False
541,Leaders of a country should always be honest.,True
542,The United States has 50 states.,True
543,A mayor is in charge of a city.,True
544,War is an effective way to solve problems.,False
545,The Constitution is the supreme law of the land in the United States.,True
546,"Congress is made up of two parts, the Senate and the House of Representatives.",True
547,Government officials are allowed to use their power for personal gain.,False
548,The Vice President is not an important position in the United States.,False
549,It is important for people to pay taxes to support their country.,True
550,The President can make whatever laws they want.,False
551,The White House is where the President lives and works.,True
552,Citizens must show respect to the leaders of their country.,True
553,"People can say whatever they want, whenever they want, without consequences.",False
554,Voting is a way to make a difference in your country.,True
555,"In a democracy, everyone has a voice.",True
556,Leaders of a country should care about the well-being of their citizens.,True
557,People who hold public office should not have conflicts of interest.,True
558,It is important for leaders to listen to people who disagree with them.,True
559,The government can take people's property without permission.,False
560,Power and responsibility are important parts of politics.,True
561,People should always be treated fairly and equally under the law.,True
562,It is okay for leaders to break the law if they think it will benefit their country.,False
563,The government should be transparent and open about what they do.,True
564,People should be able to live their lives without interference from the government.,False
565,Ignoring the rights of others is okay if it gets you what you want.,False
566,The government should be able to control which religion people are allowed to practice.,False
567,Everyone should have access to education.,True
568,All countries have the same form of government.,False
569,"Freedom of speech means people can say whatever they want, even if it is hurtful.",False
570,The government should provide help to people who need it.,True
571,It is okay for people to be rude to those they disagree with.,False
572,"Leaders of a country should be respected, even if you don't think they deserve it.",False
573,It is important for leaders to work with other countries to promote peace.,True
574,It is okay to discriminate against someone because of the color of their skin.,False
575,"Everyone has the same rights, no matter where they come from or who they are.",True
576,The government should not be involved in people's personal lives.,False
577,People should not have to live in fear of their government.,True
578,People should always try to understand and respect the opinions of others.,True
579,It is important for people to know their rights and responsibilities as citizens.,True
580,The President can make decisions without asking anyone else.,False
581,The government should protect the environment for future generations.,True
582,It is okay for leaders to use violence to get what they want.,False
583,People should be able to practice their religion freely.,True
584,The government should provide healthcare for everyone.,False
585,It is important for leaders to work towards equality for all people.,True
586,The government should not be influenced by money or power.,True
587,Leaders should listen to experts and scientists when making decisions.,True
588,"No one is above the law, not even the President.",True
589,Money can be used to buy things.,True
590,People need to work to make money.,True
591,A store is a place where people can buy things.,True
592,A bank is a place where people can keep their money safe.,True
593,A recession is a time when the economy is not doing well.,True
594,People can start a business to sell things they make or goods they buy.,True
595,Taxes are money paid to the government to help pay for things like schools and roads.,True
596,Investments are a way for people to earn more money over time.,True
597,A budget is a plan for spending money.,True
598,Supply and demand is when the amount of something people want to buy is the same as the amount of that thing available to buy.,True
599,Inflation is when the prices of things go up over time.,True
600,Imports are things that come from other countries.,True
601,Exports are things that go from one country to another.,True
602,A person can buy things online using a computer or phone.,True
603,An entrepreneur is someone who starts a business.,True
604,Scarcity happens when there is not enough of something to meet everyone's needs.,True
605,Cost means the amount of money something costs to make.,True
606,Profit is the money a business makes after paying for all its costs.,True
607,A credit card is a way to borrow money from a bank to buy things.,True
608,Investing money in the stock market is a way to earn more money.,True
609,A salary is money a person makes for their job.,True
610,A merger is when two companies combine to become one.,True
611,A corporation is a type of business owned by shareholders.,True
612,A monopoly is when one company has control over the production or sale of a certain product.,True
613,"When a company makes a lot of money, they should give it all away to people who didn't earn it.",False
614,Everyone has enough money to buy whatever they want all the time.,False
615,It's okay to take things from a store without paying for them.,False
616,A bank is a place where people can go to waste their time instead of being productive.,False
617,A good way to earn a lot of money is to sit at home and do nothing.,False
618,"If something costs too much, it's okay to steal it.",False
619,Taxes are just a way for the government to take people's money for no reason.,False
620,Investing your money is always a bad idea.,False
621,Companies always want to sell things for cheap.,False
622,"If a company doesn't make any money, it doesn't matter because they can just keep going forever.",False
623,A budget isn't important and people can just spend as much money as they want.,False
624,"When people can't afford something they want, they should just borrow money without paying it back.",False
625,It's okay to buy things that were stolen from someone else.,False
626,It's okay to sell things for more money than they are worth.,False
627,Companies don't care about their customers and only want to make money.,False
628,It's not fair for some people to have more money than others.,False
629,People can just print their own money at home instead of earning it.,False
630,Making things is never as good as just buying them from someone else.,False
631,Companies should only make things that don't cost them any money.,False
632,Everyone should get paid the same amount of money no matter what job they do.,False
633,It's okay to lie about how much money you have or earn.,False
634,It's always possible to get rich quick without doing any work.,False
635,A successful business doesn't need to have any customers.,False
636,People should be able to keep all the money they earn and never share it with anyone else.,False
637,A pencil is used for writing.,True
638,We learn things in school.,True
639,Teachers help us learn.,True
640,You should listen to the teacher when they speak.,True
641,Books have lots of words and pictures in them.,True
642,We count numbers in school.,True
643,We learn to read in school.,True
644,We learn how to add and subtract in school.,True
645,We learn about shapes and colors in school.,True
646,We learn about animals in school.,True
647,We learn about the planets in our solar system in school.,True
648,We learn about different cultures in school.,True
649,We use scissors to cut paper in school.,True
650,We learn to share with others in school.,True
651,It’s important to try your best in school.,True
652,We learn about the Earth in school.,True
653,We learn how to write our name in school.,True
654,Teachers are there to help us when we need it.,True
655,We learn about the weather in school.,True
656,We learn about healthy foods in school.,True
657,We learn about the importance of exercise in school.,True
658,We should always be respectful to our teachers and classmates.,True
659,It’s important to attend school every day.,True
660,We learn about different jobs in school.,True
661,We don’t learn anything in school.,False
662,The teacher doesn’t help us learn.,False
663,We don’t use pencils for writing.,False
664,We don’t need to listen to the teacher when they speak.,False
665,Books are empty.,False
666,We don’t count numbers in school.,False
667,We don’t learn to read in school.,False
668,We don’t learn how to add and subtract in school.,False
669,We don’t learn about shapes and colors in school.,False
670,We don’t learn about animals in school.,False
671,We don’t learn about the planets in our solar system in school.,False
672,We don’t learn about different cultures in school.,False
673,We don’t use scissors to cut paper in school.,False
674,We don’t learn to share with others in school.,False
675,It’s not important to try our best in school.,False
676,We don’t learn about the Earth in school.,False
677,We don’t learn how to write our name in school.,False
678,Teachers don’t help us when we need it.,False
679,We don’t learn about the weather in school.,False
680,We don't learn about healthy foods in school.,False
681,We don't learn about the importance of exercise in school.,False
682,We shouldn’t be respectful to our teachers and classmates.,False
683,It’s not important to attend school every day.,False
684,We don’t learn about different jobs in school.,False
685,Exercise is good for your body.,True
686,Fruits and vegetables are healthy to eat.,True
687,Brushing your teeth is important for dental health.,True
688,Drinking water is good for your body.,True
689,Sleeping is important for your body to rest and grow.,True
690,Running is a form of exercise.,True
691,Eating too much candy is bad for your teeth.,True
692,Washing your hands helps prevent the spread of germs.,True
693,Going outside to play is good for your body.,True
694,Carrots are a healthy snack option.,True
695,Getting enough sleep helps you feel rested and ready to learn.,True
696,Playing sports is a fun way to exercise.,True
697,Eating too much junk food can be unhealthy.,True
698,Taking a bath or shower is important for personal hygiene.,True
699,Walking is a low-impact form of exercise.,True
700,Vegetables are full of vitamins and nutrients that are good for your body.,True
701,Wearing sunscreen helps prevent sunburn and skin damage.,True
702,Drinking milk can help you build strong bones.,True
703,Exercise can help you feel more energized.,True
704,Sleeping in a dark and quiet room can help you sleep better.,True
705,Washing your hands before eating can prevent illness.,True
706,Playing with friends is a fun way to stay active.,True
707,Eating a balanced diet is important for good health.,True
708,Drinking too much soda can be bad for your teeth.,True
709,Eating too much candy is good for your teeth.,False
710,Exercise is bad for your body.,False
711,Vegetables are bad for your body.,False
712,Brushing your teeth is not important for dental health.,False
713,Drinking too much coffee is good for your body.,False
714,Playing outside is bad for your body.,False
715,Eating too much junk food is not unhealthy.,False
716,Getting enough sleep makes you feel more tired.,False
717,Running is not a form of exercise.,False
718,Drinking water is bad for your body.,False
719,Wearing sunscreen is not necessary when you go outside.,False
720,Taking a bath or shower is not important for personal hygiene.,False
721,Walking is not a form of exercise.,False
722,Milk cannot help you build strong bones.,False
723,Eating a balanced diet is not important for good health.,False
724,Vegetables are not full of vitamins and nutrients that are good for your body.,False
725,Drinking milk can be bad for your health.,False
726,Exercise can make you feel more tired.,False
727,You should not wash your hands before eating.,False
728,Playing with friends is not a fun way to stay active.,False
729,Eating too much candy is good for your health.,False
730,Sleeping in a bright and noisy room can help you sleep better.,False
731,Drinking a lot of pop is good for your teeth.,False
732,Going outside to play is bad for the environment.,False
733,Junk food is better for your body than fruits and vegetables.,False
734,Earth is a planet.,True
735,Trees and plants give us oxygen.,True
736,We can recycle paper.,True
737,We should turn off the lights when we leave a room.,True
738,Water comes from the earth.,True
739,We can compost to create healthy soil.,True
740,The sun comes out during the day and goes away at night.,True
741,One way to use less water is to take shorter showers.,True
742,The wind can be used to make energy.,True
743,We should put our garbage in the trash can.,True
744,Pollution is bad for animals.,True
745,We should turn off the water when we brush our teeth.,True
746,We have four seasons in a year.,True
747,We can ride bikes to help the environment.,True
748,The rain helps trees and plants grow.,True
749,Solar panels can be used to make energy.,True
750,We should use reusable bags instead of plastic bags.,True
751,Rivers can be sources of water for drinking.,True
752,Cars need gasoline to run.,True
753,We can use less water by fixing leaks.,True
754,Recycling helps the environment.,True
755,Trees provide homes for animals.,True
756,We can plant flowers to help the bees.,True
757,We can use less energy by turning off electronics when we are done with them.,True
758,We can’t drink water.,False
759,Recycling is not important.,False
