,Question,Correct
144,Gazpacho is a dish served hot.,False
145,Hummus is made with chickpeas.,False
146,Red velvet cake is a different flavor than regular chocolate cake.,False
147,Music is a form of art.,True
148,Melody is a sequence of pitches.,True
149,A chord is a combination of multiple notes played together.,True
150,Music can evoke emotions in listeners.,True
151,Harmony is created by playing multiple notes at the same time.,True
152,Rhythm is the underlying beat and tempo of a piece of music.,True
153,The bass clef is typically used for lower-pitched instruments.,True
154,The treble clef is typically used for higher-pitched instruments.,True
155,Instrumental music doesn't have any lyrics.,True
156,Decrescendo means to gradually decrease in volume.,True
157,A scale is a set of musical notes ordered by frequency or pitch.,True
158,A key signature is a set of sharps or flats shown at the beginning of a piece of music to indicate which notes are to be consistently played as sharp or flat.,True
159,A staff is a set of five horizontal lines upon which musical notes are placed.,True
160,A time signature indicates the number of beats per measure in a piece of music.,True
161,Crescendo means to gradually increase in volume.,True
162,An octave consists of eight notes.,True
163,A major key sounds happy or bright.,True
164,A minor key sounds sad or dark.,True
165,More than one person can sing in unison.,True
166,A flat note is lower in pitch than a natural note.,True
167,Music can be used to help people relax or sleep better.,True
168,Different genres of music can vary in their use of instruments or vocal styles.,True
169,A measure is a segment of time in which a set number of beats are played.,True
170,Music can be used to express cultural identities or values.,True
171,A chord is a combination of only one note played at a time.,False
172,Rhythm is the melody and harmony of a piece of music.,False
173,The bass clef is typically used for higher-pitched instruments.,False
174,The treble clef is typically used for lower-pitched instruments.,False
175,Instrumental music always has lyrics.,False
176,Decrescendo means to suddenly decrease in volume.,False
177,A scale is a set of musical notes played randomly.,False
178,A key signature is a set of symbols used to indicate the key of the music.,False
179,A staff is a set of three horizontal lines upon which musical notes are placed.,False
180,A time signature indicates the number of notes per measure in a piece of music.,False
181,Crescendo means to suddenly increase in volume.,False
182,An octave consists of ten notes.,False
183,A major key sounds sad or dark.,False
184,A minor key sounds happy or bright.,False
185,More than one person cannot sing in unison.,False
186,A flat note is higher in pitch than a natural note.,False
187,Music can only be used to energize people.,False
188,Different genres of music use the same instruments and vocal styles.,False
189,A measure is a random segment of time.,False
190,Music only expresses romantic feelings.,False
191,"The word ""melody"" refers to the rhythm of a piece of music.",False
192,Every song has a time signature.,False
193,Harmony consists of only one note played at a time.,False
194,A note is the same as a rest in music theory.,False
195,Movies are a form of visual art.,True
196,The first movie was made in the 19th century.,True
197,Movies can be informative or entertaining.,True
198,A director is responsible for overseeing the entire movie production.,True
199,Sound effects are added to a movie during post-production.,True
200,An actor's performance can make or break a movie.,True
201,Comedies are movies intended to be funny.,True
202,Horror movies may include jump scares and gore.,True
203,Computer-generated imagery (CGI) can be used to create special effects in a movie.,True
204,Animated movies are films with animated characters and backgrounds.,True
205,Most movies have a musical score in the background.,True
206,Film festivals are events where movies are premiered and celebrated.,True
207,A film's rating can determine what audience it attracts.,True
208,Foreground refers to the closer objects in a shot while background refers to the further objects in a shot.,True
209,Some movies are based on true events or real people.,True
210,A sequel is a movie that continues the story from a previous film.,True
211,A screenplay is the written script for a movie.,True
212,"Movies can be enjoyed in theaters, on streaming services, or on physical media.",True
213,Actors and crew members work long hours to make a movie.,True
214,A film can be shot in multiple locations or sets.,True
215,"The Academy Awards, also known as the Oscars, are awards given for excellence in film.",True
216,A successful movie can earn a lot of money for its producers.,True
217,Movie trailers are short previews of an upcoming movie.,True
218,Foreign language films can provide insight into other cultures.,True
219,Movies were not popular before the 20th century.,False
220,Only one person is responsible for making a movie.,False
221,Silent movies had background music and sound effects.,False
222,A movie's genre cannot be determined by its tone or subject.,False
223,A sequel has no connection to the story of a previous movie.,False
224,A film cannot be shot in a single location.,False
225,Special effects can only be created with physical props and makeup.,False
226,A director's sole responsibility is to work with the actors.,False
227,Animated movies are always intended for children.,False
228,Actors do not need to memorize their lines before filming.,False
229,Horror movies are never based on true events.,False
230,Movies are only enjoyable if watched in a theater.,False
231,There is no such thing as a bad movie.,False
232,A movie's budget has no impact on its quality.,False
233,Film festivals are not important for the movie industry.,False
234,The plot of a movie never involves twists or surprises.,False
235,A movie's title reflects its genre.,False
236,A movie's success is determined solely by its critical reception.,False
237,A movie's soundtrack is always released before the film.,False
238,CGI cannot be used in live-action films.,False
239,An actor's performance has no influence on a movie's quality.,False
240,Movies are primarily consumed on physical media.,False
241,A movie's rating has no impact on the type of content it contains.,False
242,Trailers are not created until after a movie is finished.,False
243,Foreign language films are only enjoyable for people who speak that language.,False
244,Television shows are typically broadcasted on radio.,False
245,Television shows are not available on the internet.,False
246,"Television shows do not come in various genres such as comedy, drama, and thriller.",False
247,Television shows generally have opening theme songs.,True
248,"The content of television shows can vary in their rating, ranging from G to R.",True
249,Television shows can have one or multiple seasons.,True
250,Shows that air during primetime are typically geared towards adults.,True
251,Most television shows will have last episode aired during Sweeps Week.,False
252,Television shows are watched exclusively in the home by viewers.,False
253,Some television shows are adapted from popular books.,True
254,Television shows can feature famous actors.,True
255,"Reality shows feature real-life individuals, competitions, or events.",True
256,Television shows can be viewed on streaming services.,True
257,Television shows do not air on weekends.,False
258,Each network has to pay a specific licensing fee for each television show they plan to air.,True
259,Reruns of television shows do not air as frequently in the summertime.,False
260,"The current trend in television shows is to make them as long as possible, even if it means stretching the plot.",False
261,Television shows can have spin-offs.,True
262,Television shows mostly broadcast through cable.,False
263,Some television shows were produced in black and white.,True
264,Television shows can be recorded and watched at a later time.,True
265,The most popular shows on TV are ones that feature musical numbers and routines.,False
266,Commercials are typically aired during commercial breaks between segments of television shows.,True
267,"Majority of TV Tropes are based on archetypes of setting, plot, character types and themes present commonly within television shows.",True
268,TV censorship can be influenced by social and political standards of the current time.,True
269,Television shows never film multiple episodes before their release.,True
270,Television shows are not released weekly.,False
271,The actors portraying characters on television shows do not play a critical role in the show's success.,False
272,Television shows usually have the same episode runtime.,False
273,Television shows have a singular plotline that ends at the finale.,False
274,Television shows cannot be binged.,False
275,Being a guest star on a popular television show cannot help boost a person's career.,False
276,All television shows reach their intended series finales.,False
277,Networks produce and air endless amounts of television shows without any limits on how many one can produce a year.,False
278,The term 'jumping the shark' refers to shows getting better with age.,False
279,"In television shows, actors spend 90% of their screen time improvising their lines.",False
280,Television shows aren't sometimes cancelled after only one episode has aired.,False
281,Television shows that run during the fall season premiere all at the same time.,False
282,Crossovers between television shows are impossible.,False
283,Television shows can't be broadcasted in other countries.,False
284,It's impossible for a television show to be adapted into a movie or movie series.,False
285,"If a television show is critically acclaimed, it doesn't necessarily mean it will be renewed for more seasons.",False
286,Scripted television shows have no basis in reality.,False
287,"The 'clip show' technique, featuring a compilation of flashbacks from previous episodes, is no longer used in current television shows.",False
288,Television shows geared towards children are usually produced by a different set of studios than adult-oriented shows.,False
289,Television shows never use product placement to advertise to their viewers.,False
290,Television shows do not have writing teams.,False
291,The general rule for television episodes is that they must wrap up in under 15 minutes.,False
292,Fandoms and cosplay have no direct connection to television shows.,False
293,"When a television show is cancelled due to low ratings, the network typically has no say in the decision.",False
294,"Shakespeare wrote ""Romeo and Juliet.""",True
295,"""Hamlet"" is a tragedy.",True
296,"""To Kill a Mockingbird"" was written by Harper Lee.",True
297,"The protagonist of ""The Great Gatsby"" is Jay Gatsby.",True
298,"""The Catcher in the Rye"" was written by J.D. Salinger.",True
299,"Charles Dickens wrote ""Oliver Twist.""",True
300,"""1984"" was written by George Orwell.",True
301,"Mark Twain wrote ""The Adventures of Huckleberry Finn.""",True
302,"""Pride and Prejudice"" was written by Jane Austen.",True
303,"""The Grapes of Wrath"" was written by John Steinbeck.",True
304,"Mary Shelley wrote ""Frankenstein.""",True
305,"""The Lord of the Flies"" was written by William Golding.",True
306,"Edgar Allan Poe wrote ""The Raven.""",True
307,"Toni Morrison wrote ""Beloved.""",True
308,"""Animal Farm"" was written by George Orwell.",True
309,"William Faulkner wrote ""The Sound and the Fury.""",True
310,"""The Scarlet Letter"" was written by Nathaniel Hawthorne.",True
311,"Ernest Hemingway wrote ""The Old Man and the Sea.""",True
312,"""Brave New World"" was written by Aldous Huxley.",True
313,"""The Outsiders"" was written by S.E. Hinton.",True
314,"F. Scott Fitzgerald wrote ""This Side of Paradise.""",True
315,"""A Tale of Two Cities"" was written by Charles Dickens.",True
316,"""The Picture of Dorian Gray"" was written by Oscar Wilde.",True
317,"""Little Women"" was written by Louisa May Alcott.",True
318,"""War and Peace"" was written by Charles Dickens.",False
319,"""The Catcher in the Rye"" was written by John Steinbeck.",False
320,"""Pride and Prejudice"" was written by Charlotte Bronte.",False
321,"""1984"" was written by Aldous Huxley.",False
322,"Jane Austen wrote ""Wuthering Heights.""",False
323,"William Shakespeare wrote ""The Adventures of Tom Sawyer.""",False
324,"""The Great Gatsby"" was written by Ernest Hemingway.",False
325,"""The Grapes of Wrath"" was written by Ernest Hemingway.",False
326,"""Animal Farm"" was written by J.R.R. Tolkien.",False
327,"""Frankenstein"" was written by Bram Stoker.",False
328,"Emily Dickinson wrote ""The Yellow Wallpaper.""",False
329,"""The Scarlet Letter"" was written by Herman Melville.",False
330,"""The Lord of the Flies"" was written by J.D. Salinger.",False
331,"Edgar Allan Poe wrote ""Moby Dick.""",False
332,"""To Kill a Mockingbird"" was written by Truman Capote.",False
333,"""The Picture of Dorian Gray"" was written by Robert Louis Stevenson.",False
334,"F. Scott Fitzgerald wrote ""The Sun Also Rises.""",False
335,"""A Christmas Carol"" was written by Mark Twain.",False
336,"Charles Dickens wrote ""The Old Man and the Sea.""",False
337,"""The Outsiders"" was written by Stephen King.",False
338,"John Steinbeck wrote ""One Hundred Years of Solitude.""",False
339,"""The Importance of Being Earnest"" was written by Samuel Beckett.",False
340,"William Faulkner wrote ""As I Lay Dying.""",False
341,"""Heart of Darkness"" was written by Joseph Conrad.",True
342,A touchdown in American football is worth six points.,True
343,A soccer match lasts for 90 minutes.,True
344,"In baseball, there are nine players on each team.",True
345,Basketball games are played with a round ball.,True
346,"In volleyball, players are allowed to touch the ball three times before passing it to their teammates.",True
347,"In tennis, a player wins a game when they win four points.",True
348,"In swimming, freestyle is also known as front crawl.",True
349,"In gymnastics, the balance beam is four inches wide.",True
350,The Summer Olympics are held every four years.,True
351,"In athletics, a marathon is a race of 42.195 kilometers.",True
352,"In boxing, a TKO stands for ""Technical Knockout"".",True
353,"In ice hockey, each team is allowed to have six players on the ice at the same time, including the goalkeeper.",True
354,"In golf, the Masters tournament is held annually in Augusta, Georgia.",True
355,"In basketball, a shot made from behind the three-point line is worth three points.",True
356,"In football/soccer, a player is sent off after receiving two yellow cards.",True
357,"In figure skating, a triple axel is a jump with three and a half turns.",True
358,The Super Bowl is the championship game of the National Football League (NFL).,True
359,"In baseball, a batter can be walked by the pitcher if four balls are thrown outside of the strike zone.",True
360,"In athletics, the high jump is a track and field event where athletes try to jump over a bar without knocking it off.",True
361,"In badminton, a game is played to 21 points.",True
362,"In rugby, a try is worth five points.",True
363,"In motor racing, the Formula One World Championship is decided by a series of races.",True
364,"In fencing, a touch can be scored by hitting an opponent with the point of the weapon.",True
365,"In weightlifting, the snatch is a lift where an athlete tries to lift the weight from the ground to overhead in one movement.",True
366,"In swimming, the 100-meter freestyle is a shorter distance than the 200-meter freestyle.",True
367,"In baseball, the pitcher throws the ball overhand.",False
368,"In tennis, a player must win the match by a margin of at least three games.",False
369,"In soccer, a goal can be scored by touching the ball with your hands.",False
370,"In basketball, a player is fouled out of the game after committing five fouls.",False
371,"In boxing, a bout is scheduled for 10 rounds.",False
372,"In figure skating, jumps are not scored based on the number of revolutions.",False
373,"In volleyball, a player is not allowed to touch the ball with their feet.",False
374,"In athletics, the 400-meter race is longer than the 100-meter race.",False
375,"In gymnastics, the pommel horse is an apparatus used for floor exercises.",False
376,"In badminton, the doubles court is wider than the singles court.",False
377,"In motor racing, drivers are not allowed to change tires during a pit stop.",False
378,"In rugby, a player is not allowed to pass the ball forward.",False
379,"In weightlifting, the clean and jerk involves lifting the weight overhead in one movement.",False
380,"In swimming, the breaststroke is the fastest swimming style.",False
381,"In golf, players are only allowed to carry a maximum of eight clubs in their bag.",False
382,"In basketball, a team can have up to seven players on the court at the same time.",False
383,"In football/soccer, a goal scored with a player's head is worth two points.",False
384,"In ice hockey, a penalty shot is awarded after a player commits a minor penalty.",False
385,"In athletics, the pole vault is a throwing event.",False
386,"In fencing, a touch can be scored by hitting an opponent's leg.",False
387,"In baseball, the ball is thrown from the hand of the catcher to the pitcher to start each play.",False
388,"In tennis, a player must win six games to win a set.",False
389,"In soccer, the offside rule means that a player cannot be behind the last defender when the ball is passed to them.",False
390,"In gymnastics, the vault is an event that involves balancing on a beam.",False
391,The equator runs through Africa.,False
392,Antarctica is the coldest continent on Earth.,True
393,Brazil is the only country in South America that speaks Portuguese.,True
394,The Great Barrier Reef is located in Australia.,True
395,The capital of Japan is Tokyo.,True
396,The Nile is the longest river in the world.,False
397,The Sahara is the world's largest hot desert.,True
398,Mount Everest is the tallest mountain in the world.,True
399,The Amazon River is the longest river in South America.,True
400,The Great Lakes are located in Africa.,False
401,The United States has 50 states.,True
402,Greenland is the largest island in the world.,True
403,The Dead Sea is located in Africa.,False
404,The Panama Canal connects the Atlantic and Pacific oceans.,True
405,The Caspian Sea is the world's largest lake.,True
406,The Gobi Desert is located in South America.,False
407,The United Kingdom is comprised of four countries.,True
408,Hawaii is located in the Pacific Ocean.,True
409,The Yangtze River is the longest river in China.,True
410,The Czech Republic is a landlocked country.,True
411,The Andes Mountains are the longest mountain range in the world.,True
412,The Red Sea is located between Africa and Asia.,True
413,The capital of Italy is Madrid.,False
414,The Matterhorn is located in the Alps.,True
415,The capital of Canada is Montreal.,False
416,Africa is the world's largest continent.,False
417,There is only one time zone in the United States.,False
418,The largest country in the world by land area is Australia.,False
419,The Great Wall of China is visible from space.,False
420,The country with the most people is India.,False
421,The Grand Canyon is located in New Mexico.,False
422,Niagara Falls is located in South America.,False
423,The country of Norway is located in Asia.,False
424,The continent with the fewest countries is Antarctica.,True
425,The city of Istanbul is located in Greece.,False
426,The city of Mumbai is located in China.,False
427,The country of Peru is located in Central America.,False
428,The country with the most coastline is Canada.,True
429,The continent of Europe only has one time zone.,False
430,The country of Thailand is located in South America.,False
431,The country of Chile is located in Africa.,False
432,The country of Iran is located in Europe.,False
433,The country of South Africa is located entirely below the equator.,False
434,The country of Mexico has the highest population in North America.,True
435,The Great Pyramids of Giza are located in Iraq.,False
436,The largest island nation in the world is Indonesia.,True
437,Lake Victoria is the largest lake in South America.,False
438,The city of Vancouver is located in the United States.,False
439,The United States gained independence from Great Britain in 1776.,True
440,World War II ended in 1945.,True
441,The French Revolution began in 1789.,True
442,The ancient Egyptians built the pyramids.,True
443,Julius Caesar was assassinated in 44 BC.,True
444,"Martin Luther King Jr. gave his famous ""I Have A Dream"" speech in 1963",True
445,The Magna Carta was signed in 1215.,True
446,The American Civil War happened in the 19th century.,True
447,The Renaissance began in Italy in the 14th century.,True
448,The first successful airplane flight was by the Wright Brothers in 1903.,True
449,The Great Wall of China was built in the 7th century BC.,True
450,The Age of Exploration took place in the 15th and 16th centuries.,True
451,World War I lasted from 1914 to 1918.,True
452,The Russian Revolution happened in 1917.,True
453,Christopher Columbus discovered America in 1492.,True
454,The Holocaust happened during World War II.,True
455,Mahatma Gandhi led India's nonviolent independence movement.,True
456,The Boston Tea Party took place in 1773.,True
457,The Industrial Revolution began in Britain in the 18th century.,True
458,The Bill of Rights is the first ten amendments to the US Constitution.,True
459,The Apollo 11 mission put the first humans on the moon.,True
460,The Berlin Wall was erected in 1961 and fell in 1989.,True
461,The Battle of Waterloo ended the Napoleonic Wars.,True
462,The Emancipation Proclamation was issued by Abraham Lincoln in 1863.,True
463,The American Revolution began in the 20th century.,False
464,The Roman Empire lasted until the 12th century.,False
465,George Washington was the first president of the United States.,False
466,The Cold War was fought between the US and France.,False
467,The Vietnam War ended in 1969.,False
468,The War of 1812 was fought between the US and Great Britain.,False
469,The Battle of Gettysburg was fought during World War II.,False
470,The Louisiana Purchase from France happened in the 19th century.,False
471,Marco Polo was a famous Renaissance painter.,False
472,Egypt is located in South America.,False
473,The United States was founded in the 18th century.,False
474,The Magna Carta was signed by King Henry VIII.,False
475,World War II began in 1939.,False
476,Cleopatra was a Greek queen.,False
477,The French Revolution began in the 16th century.,False
478,The Ku Klux Klan was founded in the 20th century.,False
479,The Russian Revolution abolished the monarchy.,False
480,The ancient Greek city-state of Sparta was a democracy.,False
481,The Renaissance took place in Germany.,False
482,The atomic bomb was dropped on Hiroshima in 1945.,False
483,The Magna Carta established democracy in England.,False
484,The American Civil War was fought over slavery.,False
485,The Great Wall of China was built to keep out the Mongols.,False
486,Tsar Nicholas II led the Bolshevik Revolution in Russia.,False
487,The American Revolution began with the Battle of Lexington and Concord.,False
488,Water freezes at 100 degrees Celsius.,False
489,The Earth revolves around the Sun.,True
490,Saltwater boils at a higher temperature than freshwater.,True
491,Force equals mass times acceleration.,True
492,Oxygen is the most abundant gas in the Earth's atmosphere.,False
493,The atomic number of carbon is 6.,True
494,Sound travels faster through water than air.,True
495,A plant cell contains a nucleus.,True
496,The human body has four chambers in the heart.,False
497,An acid has a pH level greater than 7.,False
498,Bronze is made by combining copper and zinc.,True
499,The human appendix has no purpose.,False
500,The human body has 206 bones.,True
501,Electrons have a negative charge.,True
502,Protons have a greater mass than neutrons.,False
503,The density of water increases as it gets colder.,True
504,The formula for photosynthesis is CO2 + H2O -> C6H12O6 + O2.,True
505,Every element in the periodic table is a metal.,False
506,Sound cannot travel through a vacuum.,True
507,The chemical symbol for gold is Go.,False
508,The moon has its own atmosphere.,False
509,The smallest unit of matter is an atom.,True
510,All living organisms need oxygen to survive.,False
511,Fungi are photosynthetic.,False
512,The Earth is flat.,False
513,Water is not necessary for human survival.,False
514,The Great Wall of China is visible from space.,False
515,The Atlantic Ocean is larger than the Pacific Ocean.,False
516,Plants are not considered living organisms.,False
517,A rock is a type of mineral.,False
518,Earthquakes can occur anywhere in the world.,True
519,"The circumference of the Earth is less than 10,000 km.",False
520,Jupiter is closer to the Sun than Mars.,False
521,Koalas are native to Africa.,False
522,A mammal is an animal that lays eggs.,False
523,A right angle measures 120 degrees.,False
524,Fire is not considered matter.,False
525,Hurricanes only occur on land.,False
526,A shark is a mammal.,False
527,The capital of Canada is Toronto.,False
528,Air is not a mixture of gases.,False
529,There are fewer than 50 elements on the periodic table.,False
530,Carbon dioxide is lighter than air.,False
531,The earthworm is not hermaphroditic.,False
532,Radar can only detect objects on land.,False
533,The longest river in the world is the Amazon.,False
534,An acre is larger than a hectare.,False
535,The largest bone in the human body is the femur.,True
536,Salt is a type of sugar.,False
537,1+1=2.,True
538,A triangle has three sides.,True
539,A number can either be odd or even.,True
540,Square root of 16 is 5.,False
541,There are 12 inches in a foot.,True
542,The equation y = mx+b is the slope-intercept form.,True
543,Division by zero is undefined.,True
544,The formula for the area of a circle is pi*r^2.,True
545,A rhombus has four right angles.,False
546,Adding two negative numbers gives you a negative result.,True
547,The sum of angles in a triangle is 180 degrees.,True
548,The Pythagorean theorem states that a^2 + b^2 = c^2.,True
549,"In probability, the sum of all possible outcomes is always equal to 1.",True
550,A polygon with 8 sides is called an octagon.,True
551,A right triangle has one angle that measures 90 degrees.,True
552,A diameter is a line that passes through the center of a circle.,True
553,"Subtraction is commutative, meaning 8-3 is the same as 3-8.",False
554,An obtuse angle is greater than 90 degrees.,True
555,An integer is a whole number.,True
556,A rectangle is a type of parallelogram.,True
557,The reciprocal of 1/2 is 2/1.,True
558,A line segment has only one endpoint.,False
559,A fraction is a way to represent a part of a whole.,True
560,"Multiplication is distributive over addition, meaning a * (b+c) = a*b + a*c.",True
561,1+2=3.,False
562,A hexagon has 8 sides.,False
563,A negative number multiplied by a negative number gives a positive result.,True
564,The formula for the circumference of a circle is 2*pi*r.,False
565,4/8 is equivalent to 2/4.,False
566,"In statistics, the median is the same as the mean.",False
567,A trapezoid has 4 equal sides.,False
568,10 is a prime number.,False
569,A multiple of a number is always bigger than the original number.,False
570,Division and multiplication are inverse operations.,True
571,A ray has two endpoints.,False
572,The formula for the surface area of a sphere is 4*pi*r^2.,True
573,0 is considered a natural number.,False
574,A line of symmetry can be found in an asymmetrical shape.,False
575,"In a parallelogram, opposite sides are parallel and equal in length.",True
576,The opposite of 7 is -7.,True
577,A scalene triangle has two equal sides and two equal angles.,False
578,The commutative property of addition states that a+b = b+a for all numbers a and b.,True
579,A decimal with three digits after the decimal point is called a thousandth.,False
580,A function is a type of mathematical operation.,False
581,A quadratic equation cannot have more than two solutions.,True
582,A ratio is the same as a percentage.,False
583,The domain of a function is the set of all possible output values.,False
584,A line graph can be used to show the relationship between two variables.,True
585,A line of best fit is used to connect all the data points in a scatter plot.,False
586,The Mona Lisa was painted by Michelangelo.,False.
587,Watercolor is a type of painting that uses water-soluble pigments.,True.
588,Picasso is famous for his cubist style of painting.,True.
589,The Statue of David was sculpted by Michelangelo.,True.
590,"Vincent van Gogh is known for his use of bright, bold colors in his artwork.",True.
591,The color wheel is used to identify complementary colors.,True.
592,The Sistine Chapel ceiling was painted by Leonardo da Vinci.,False.
593,Photography is not considered a form of art.,False.
594,Monet is known for his series of paintings of water lilies.,True.
595,The Pieta is a sculpture created by Michelangelo.,True.
596,"The term ""impressionism"" originated in France in the late 19th century.",True.
597,"The term ""renaissance"" means ""rebirth"" in French.",False.
598,Banksy is a popular street artist known for his satirical and politically charged works.,True.
599,The Great Wave off Kanagawa is a famous woodblock print created by Hokusai.,True.
600,"Pointillism is a painting technique that uses small, distinct dots of color.",True.
601,The Mona Lisa is a sculpture created by Donatello.,False.
602,Art Nouveau is a style that originated in the 18th century.,False.
603,"The term ""modern art"" refers to artwork created in the Middle Ages.",False.
604,The Venus de Milo is a sculpture created by Michelangelo.,False.
605,"Leonardo da Vinci was primarily a sculptor, not a painter.",False.
606,Surrealism is a style of art that seeks to represent reality through recognizable images.,False.
607,"In Chinese art, calligraphy is valued more highly than painting.",False.
608,Impressionist paintings typically depict realistic scenes with intricate details.,False.
